,production
1837,22821
1838,22240
1839,22038
1840,20403
1841,19996
1842,18767
1843,17523
1844,17289
1845,17355
1846,18134
1847,18183
1848,19239
1849,19847
1850,21396
1851,22143
1852,22990
1853,22901
1854,23184
1855,23387
1856,23542
1857,22698
1858,22909
1859,23047
1860,23464
1861,23562
1862,23557
1863,23265
1864,23111
1865,22860
1866,21411
1867,19169
1868,18149
1869,17918
1870,18138
1871,18433
1872,19351
1873,20273
1874,21214
1875,22413
1876,23534
1877,24002
1878,23827
1879,23557
1880,23107
1881,22991
1882,22950
1883,23288
1884,23338
1885,23401
1886,23428
1887,23150
1888,23293
1889,22718
1890,21586
1891,19139
1892,17808
1893,17640
1894,18009
1895,17998
1896,19158
1897,20348
1898,21411
1899,22657
1900,23591
1901,23757
1902,24093
1903,24188
1904,23748
1905,23505
1906,23172
1907,23636
1908,23805
1909,23470
1910,23495
1911,23259
1912,23264
1913,23183
1914,22185
1915,19589
1916,18209
1917,17505
1918,17885
1919,18311
1920,18939
1921,20644
1922,21877
1923,22865
1924,23792
1925,24675
1926,24160
1927,23952
1928,23622
1929,22982
1930,22720
1931,23178
1932,22893
1933,22446
1934,22162
1935,22989
1936,22621
1937,22148
1938,20683
1939,18245
1940,17360
1941,17134
1942,17183
1943,17504
1944,18037
1945,18890
1946,20826
1947,22280
1948,22872
1949,23672
1950,24015
1951,23370
1952,22731
1953,22387
1954,22269
1955,22495
1956,22149
1957,23389
1958,22889
1959,21863
1960,21389
1961,19639
1962,18507
1963,17706
1964,17001
1965,17125
1966,17429
1967,17912
1968,18536
1969,19346
1970,21394
1971,21904
1972,21942
1973,22699
1974,22907
1975,21951
1976,21891
1977,21209
1978,21726
1979,21730
1980,21979
1981,21650
1982,21546
1983,21402
1984,21356
1985,19536
1986,18353
1987,17603
1988,17304
1989,17268
1990,17672
1991,18647
1992,20507
1993,20994
1994,21774
1995,22310
1996,22425
1997,21822
1998,22256
1999,21844
2000,21713
2001,21856
2002,21840
2003,21734
2004,21888
2005,22002
2006,22081
2007,21746
2008,21602
2009,22194
2010,21110
2011,20110
2012,19878
2013,19569
2014,19647
2015,19696
2016,20001
2017,20368
2018,22297
2019,22763
2020,23201
2021,23811
2022,23763
2023,23710
2024,23271
2025,22931
2026,23251
2027,23323
2028,23585
2029,23649
2030,24028
2031,24137
2032,24175
2033,23774
2034,22505
2035,20707
2036,18943
2037,19451
2038,19333
2039,20088
2040,20669
2041,21288
2042,22322
2043,23311
2044,24047
2045,24739
2046,24214
2047,24329
2048,23833
2049,22915
2050,23573
2051,23731
2052,23698
2053,23875
2054,23785
2055,23803
2056,23970
2057,23874
2058,22811
2059,20618
2060,19152
2061,18837
2062,19516
2063,19846
2064,20369
2065,21101
2066,21857
2067,23183
2068,24165
2069,24762
2070,24224
2071,23316
2072,23195
2073,23362
2074,22960
2075,23239
2076,23068
2077,23092
2078,22987
2079,23232
2080,23440
2081,23706
2082,23295
2083,21020
2084,19438
2085,19064
2086,19374
2087,19859
2088,20491
2089,21074
2090,22073
2091,23151
2092,23557
2093,23762
2094,23341
2095,23843
2096,23426
2097,22942
2098,22965
2099,23216
2100,23331
2101,23269
2102,23285
2103,22772
2104,23146
2105,23433
2106,23272
2107,20854
2108,18957
2109,18804
2110,18708
2111,19388
2112,20676
2113,21012
2114,22336
2115,22762
2116,24458
2117,25008
2118,24861
2119,24895
2120,24585
2121,24053
2122,24048
2123,23764
2124,23939
2125,24253
2126,24348
2127,24292
2128,24661
2129,24360
2130,24510
2131,21552
2132,19899
2133,19190
2134,19315
2135,19599
2136,21337
2137,21179
2138,21722
2139,22503
2140,23467
2141,24098
2142,24113
2143,23709
2144,23018
2145,22287
2146,22424
2147,22177
2148,22697
2149,22622
2150,22568
2151,22040
2152,20941
2153,19519
2154,18767
2155,18206
2156,17701
2157,17560
2158,17729
2159,18104
2160,18843
2161,20908
2162,21526
2163,22209
2164,22747
2165,23300
2166,23664
2167,23564
2168,23099
2169,22701
2170,22592
2171,22687
2172,23088
2173,22891
2174,22574
2175,22438
2176,20973
2177,19646
2178,18894
2179,17875
2180,17619
2181,17741
2182,17478
2183,18908
2184,18806
2185,19596
2186,20128
2187,21617
2188,21899
2189,22727
2190,22870
2191,22548
2192,21861
2193,21452
2194,21427
2195,22044
2196,22654
2197,22916
2198,23135
2199,23434
2200,23581
2201,23110
2202,21958
2203,20067
2204,18316
2205,18405
2206,18576
2207,18121
2208,19362
2209,19859
2210,20383
2211,21634
2212,22894
2213,23572
2214,23143
2215,22680
2216,21507
2217,21067
2218,21492
2219,21309
2220,21763
2221,21547
2222,22114
2223,22860
2224,23084
2225,22647
2226,21328
2227,18892
2228,17366
2229,17097
2230,17199
2231,17215
2232,17888
2233,18768
2234,20070
2235,21264
2236,22126
2237,22892
2238,22807
2239,22859
2240,22283
2241,21512
2242,21544
2243,21679
2244,21975
2245,21862
2246,22185
2247,21885
2248,21882
2249,21563
2250,19696
2251,17646
2252,16698
2253,16417
2254,16488
2255,16781
2256,17341
2257,18486
2258,19530
2259,21189
2260,21889
2261,22420
2262,22208
2263,22139
2264,21321
2265,20639
2266,20627
2267,21488
2268,21475
2269,21763
2270,21714
2271,21433
2272,21710
2273,21775
2274,19462
2275,17274
2276,16495
2277,16154
2278,16220
2279,16515
2280,16344
2281,18156
2282,19438
2283,20980
2284,21800
2285,22645
2286,22789
2287,22612
2288,21794
2289,20929
2290,20760
2291,20964
2292,20918
2293,20846
2294,20703
2295,20287
2296,20432
2297,19662
2298,18247
2299,16785
2300,16199
2301,15736
2302,15656
2303,15836
2304,16133
2305,16644
2306,17476
2307,18571
2308,19993
2309,20651
2310,20102
2311,19824
2312,19125
2313,18652
2314,18684
2315,18854
2316,19270
2317,19100
2318,18750
2319,18407
2320,17974
2321,17064
2322,16331
2323,15990
2324,15789
2325,15678
2326,15701
2327,15979
2328,16312
2329,16610
2330,17602
2331,18845
2332,20415
2333,20399
2334,19820
2335,19638
2336,19279
2337,18908
2338,18995
2339,19269
2340,19499
2341,19482
2342,19347
2343,19178
2344,18401
2345,17365
2346,16574
2347,16206
2348,16004
2349,15915
2350,16004
2351,16201
2352,16996
2353,17769
2354,18719
